Date,Actividades.Primarias,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo
1/12/2010,114.9908448,94.71114549,95.10096193,99.18959102,91.41599679,98.80242114,88.03969986,4.93696896
1/1/2011,93.80488925,93.95722349,87.97971136,101.927668,90.59356988,94.20745788,90.55777662,5.33701074
1/2/2011,80.92298554,90.68804212,87.7995471,92.44242076,90.13052311,90.56097921,88.91251029,5.33848434
1/3/2011,84.91899149,98.17898537,95.09864231,103.4222665,99.75604973,90.36147467,95.52340395,4.6417399
1/4/2011,83.10055721,94.31199348,90.55086002,98.92082889,91.63430688,95.59109584,94.45532467,5.13063631
1/5/2011,96.54980595,97.66557192,94.97900465,102.0457401,96.26448083,96.16901855,99.17961951,5.1807634
1/6/2011,92.87091283,98.58914096,95.52617399,98.66402769,97.33870939,100.4692655,102.1118369,5.40078705
1/7/2011,97.36716359,97.67143012,93.77261724,99.34749902,94.39958096,101.8842713,103.3978926,5.47711851
1/8/2011,77.21542031,99.20407193,96.06058879,100.5349008,97.76465033,99.98154201,104.2558066,5.70524018
1/9/2011,67.42576922,97.14782587,93.78672598,95.45199075,96.2547547,99.58793973,102.4891405,5.43238833
1/10/2011,82.54852101,101.6998339,95.86529851,101.9641989,100.1652438,104.8772418,100.891584,4.99339894
1/11/2011,122.322049,101.4512865,99.81158849,97.96223506,100.101405,108.8620824,95.43326814,4.96127892
1/12/2011,116.3822668,98.85375761,97.90808779,101.3113679,94.07554528,107.817633,93.22236033,4.50680533
1/1/2012,94.80309264,97.43132118,93.1666167,102.2595728,96.2353182,96.41288947,92.28962,4.87974373
1/2/2012,86.97958112,96.61105611,93.05773709,96.89383063,96.78035409,97.0915891,91.10270122,5.28010781
1/3/2012,87.0552315,101.7435072,98.25285092,104.1332307,103.744115,96.25305022,96.55985152,4.51848892
1/4/2012,90.14712679,97.35837631,94.72404019,98.94348865,95.95852459,99.14855396,95.76617541,4.8579851
1/5/2012,101.9841178,102.2249183,99.18963978,103.004799,102.031722,102.0029556,101.6796071,4.6736979
1/6/2012,115.2812054,100.8719585,98.25251075,99.47658443,102.4857068,98.09038111,104.2269599,4.75132601
1/7/2012,99.49116203,101.88878,97.8960181,100.3587827,99.13539401,108.3717753,106.033468,4.99202873
1/8/2012,78.19227873,101.9501799,98.59844754,101.7273155,101.627936,101.9704182,106.3060397,5.32777829
1/9/2012,65.43879375,99.65364649,94.25524664,97.66352557,98.08796946,103.9744668,104.1582677,4.90520453
1/10/2012,85.47813061,103.7211892,101.6701312,101.1310627,103.6482566,106.3781596,103.5537163,5.03047598
1/11/2012,137.3791998,102.4484579,103.7806764,99.94839687,101.3542556,107.9361117,98.59631703,5.04764898
1/12/2012,127.6087334,96.78053509,101.2112401,101.7990358,92.63743042,101.5604378,93.09398106,4.39544582
1/1/2013,103.6228405,99.09815237,97.06574854,105.3435247,98.68416929,95.00958673,94.23084759,5.40787857
1/2/2013,89.86471099,96.15029507,94.10795709,94.34372128,95.79998698,99.55000151,91.52314679,4.75052305
1/3/2013,77.17679793,97.92476063,97.60220161,102.7279446,97.81610499,94.35006876,94.10130196,4.47565818
1/4/2013,95.37160319,99.87695202,100.1721847,98.85930701,101.1722543,98.75967346,96.5524189,4.96199892
1/5/2013,109.0784621,102.433418,101.8541124,101.1349443,102.4731853,103.6436567,102.1474311,4.91098239
1/6/2013,115.6023786,98.61943913,99.20393728,97.86301851,99.98168896,95.3770862,103.8957093,4.99953497
1/7/2013,102.6144305,100.6124419,100.8272028,99.12636419,100.8696071,100.273587,106.6027472,5.13158583
1/8/2013,76.76809143,101.8324178,100.6082165,101.1189866,102.7774271,99.2642518,107.9667024,5.18310622
1/9/2013,69.06407925,98.36631927,97.35396642,96.82843176,98.290556,98.69349716,104.8129111,5.305093
1/10/2013,94.55908803,104.909494,103.4508379,101.7699327,106.9578321,103.6839065,104.2009794,5.00978373
1/11/2013,130.8947436,101.8681798,104.1712131,98.93760858,101.7931752,105.3205303,99.38598259,4.48462178
1/12/2013,135.3827739,98.30812997,103.5824218,101.9462158,93.38401276,106.0741539,94.57982173,4.26655125
1/1/2014,102.1076592,100.2508566,97.67199122,104.9045018,101.6260951,92.84040015,100.4943158,5.06851957
1/2/2014,98.98699022,97.35589327,96.59054003,94.14794711,97.68475191,99.66245539,97.60453116,4.66156322
1/3/2014,82.56405761,102.8094328,101.1164729,103.339863,105.0782944,97.10143306,104.6613721,4.79610667
1/4/2014,96.36428613,100.1565438,100.6150879,97.32098329,100.9325207,100.241768,104.9436349,4.85187491
1/5/2014,115.4428324,105.0835461,104.2665872,100.8857872,106.9006543,104.1558692,110.3409552,4.94215861
1/6/2014,116.1064994,102.4785839,102.3176162,96.98509056,104.953865,100.4636012,112.3051432,4.81508621
1/7/2014,108.4628248,103.3584548,104.1881933,97.57457005,105.1166632,102.9144923,114.3358267,5.47044354
1/8/2014,81.7647067,103.6289201,101.7323272,99.67188785,104.4450431,103.0331738,116.6716789,5.18894986
1/9/2014,72.01437085,101.8152192,100.4272126,95.02385844,103.6769624,101.856308,114.0553593,5.0922037
1/10/2014,91.81737179,108.2901669,106.8914875,97.44302434,111.453263,110.902715,113.2034127,4.7754956
1/11/2014,132.9093837,103.5664607,106.6636143,93.96035965,105.5826597,107.8881921,106.2446678,4.52768527
1/12/2014,141.505795,102.1673596,107.9049007,96.02035335,100.3900019,111.6785568,102.8074938,3.75740583
1/1/2015,116.1215666,102.0323648,101.7404836,99.83028379,104.5006412,98.7585273,102.6193733,4.51312553
1/2/2015,99.00861985,99.18166798,100.3674105,91.76921854,102.5857152,98.91116889,99.61742691,4.32517157
1/3/2015,81.07061119,104.2049002,106.2051524,99.39588912,108.5645507,99.26322572,105.4170989,3.86297662
1/4/2015,100.693773,101.6757033,104.8555276,90.71133824,105.2092549,103.8371139,105.4693151,4.31373113
1/5/2015,120.7778131,103.9228429,106.6188257,94.33593342,107.2362115,104.8052672,109.8752645,4.44613174
1/6/2015,111.9029311,103.5711882,108.7091809,92.43319819,108.6018748,101.7349749,112.2087465,4.40523922
1/7/2015,101.4801359,106.0771873,108.2264519,93.49288136,107.7342985,112.5593919,115.9072182,4.717361
1/8/2015,83.80933961,106.0329555,106.1141459,95.56159144,108.8556794,107.3895167,118.9950575,4.68048476
1/9/2015,74.91611509,105.1027673,106.2727684,91.23249363,108.4001457,108.7806182,117.6035947,4.49763049
1/10/2015,92.76624738,107.8619832,110.89056,93.8984467,113.835852,106.6116001,116.9901495,4.55122966
1/11/2015,129.1877965,103.6927348,110.7193032,90.06777095,107.1357304,108.02094,110.2698756,3.95955845
1/12/2015,145.5142022,102.7892968,111.9474708,92.43422,103.0369703,111.7965938,104.4376278,3.96267474
1/1/2016,118.1210878,102.9932694,104.7798337,97.69131494,105.6613463,102.7093915,101.290493,4.2363687
1/2/2016,102.4886461,102.4114424,106.3370983,91.34746883,106.6608818,104.2977302,100.4813162,4.14591136
1/3/2016,79.88104206,103.2952151,108.8083938,94.88638782,107.0765817,103.1902774,103.6352264,3.73772355
1/4/2016,101.5418883,103.8533092,109.5874742,89.30066446,108.6318412,106.9206751,106.9680036,3.79895766
1/5/2016,113.8341746,104.9876065,111.2294534,91.29467311,108.656484,108.5879456,113.1117928,4.0338131
1/6/2016,127.5671882,105.017452,112.4661638,88.43975998,110.8719859,106.185341,115.7659131,3.93033896
1/7/2016,104.9089326,103.6633551,110.1911277,89.59206414,106.469632,108.0788371,118.6408272,4.00708718
1/8/2016,90.00858481,106.3296459,111.7073739,89.55606205,112.8349011,106.0018049,118.5531144,4.0038332
1/9/2016,77.17305172,103.1848696,109.4986032,86.0409993,108.4376967,105.7775227,115.8951732,4.13839194
1/10/2016,94.93836191,106.573807,114.1685463,88.81834389,112.4321023,109.3066768,115.0860318,3.67093013
1/11/2016,139.8877281,106.3133956,116.9869547,84.16112574,112.4329684,114.011913,108.2158995,3.51486793
1/12/2016,151.4726987,102.6275504,117.4936968,85.30627304,106.3965023,110.9570604,103.3848459,3.3710286
1/1/2017,132.7948335,103.9239663,110.101514,90.89697402,110.3314432,102.9481521,102.6841479,3.5924882
1/2/2017,98.86700198,100.3896274,108.5916053,79.50648207,108.0751199,104.0627995,99.72728665,3.3712941
1/3/2017,84.6925707,108.0128555,115.4829665,87.24932399,117.1131226,108.7718091,106.3031819,3.1887216
1/4/2017,104.4493603,99.25206115,110.5180383,82.5834219,106.7631867,98.09253972,104.4838586,3.46470519
1/5/2017,115.2586884,106.1554738,116.3944851,86.02424365,113.8144475,107.6476227,113.0389369,3.56226757
