"","InflacionNacional","Salarios","Precios.EUA","Tipo.de.cambio","Industria.EUA","Actividades.Primarioas","Actividades.Secundarias","Actividades.Terciarias","Mineria","Manufactura","Construccion","Energia","Desempleo","Billetes.y.monedas","Ingreso.Mexico","TIIE28","TIIE91"
"01/01/2013",4.39312459907042,4.51058694190196,5.43929595980761,2.54332491782641,4.57375928867684,4.64075777367257,4.59611079706527,4.57538856888716,4.6572266737195,4.59192454137665,4.55397779945654,4.54574759708429,1.68785688471638,20.4838630527924,4.58463224707858,1.57691472072854,1.5810384379124
"01/02/2013",4.39803460776501,4.50567686905276,5.44745263304727,2.54273520940047,4.57918282056691,4.49830532815253,4.56591254088083,4.54444260295258,4.54694472248838,4.56226254906866,4.60066004567846,4.51659191067238,1.55825472777373,20.4727050369021,4.55041339292338,1.57277392806251,1.57277392806251
"01/03/2013",4.40534553757163,4.49836640710455,5.45006372974971,2.53167095376388,4.58304123690241,4.34609886690986,4.58419943512716,4.58090005064414,4.63208417924061,4.5830892361831,4.54701200059013,4.54437188241485,1.49865342024132,20.504467057178,4.57540227136108,1.49962304642689,1.50185270175416
"01/04/2013",4.40600585786253,4.49770523533721,5.44902354947265,2.50347485536838,4.58182653064564,4.55778087366239,4.60393894852623,4.60689055230897,4.59369769804239,4.61682455226668,4.59268935807216,4.57008606190093,1.60180866761541,20.4548999650078,4.60436657067578,1.4655675420144,1.46787434811231
"01/05/2013",4.40267229181464,4.50103891449998,5.45080237419901,2.50570551270279,4.58238394012542,4.69206745905145,4.62921300702184,4.62354151888272,4.61645570725591,4.62960115752416,4.64095863778087,4.6264171726361,1.59147400122294,20.4647522368457,4.62771646661115,1.46325540225602,1.46325540225602
"01/06/2013",4.40206499312937,4.50164687053287,5.45319920758321,2.5600218526098,4.58431716522179,4.75015653215116,4.59126839359668,4.59717770382577,4.58356873057228,4.60498705882133,4.55783836302201,4.64338760081358,1.60934490210877,20.4661054699863,4.60038234454567,1.45861502269952,1.46093790411566
"01/07/2013",4.40173358386365,4.50197842798544,5.4535931275198,2.54828043037858,4.57937503332372,4.63097857099479,4.61127592695665,4.61340818827679,4.59639544218062,4.61382866394664,4.60790232030777,4.66910928250662,1.63541474006723,20.4612637697776,4.61324060735383,1.46325540225602,1.46325540225602
"01/08/2013",4.40457461247088,4.49913722206538,5.45479533613439,2.55493010115614,4.58654327726388,4.34078907764761,4.62332849939576,4.61123392928072,4.616297908592,4.63256574817038,4.59778550422075,4.68182286847547,1.64540453292001,20.4609197512137,4.60789847282656,1.46093790411566,1.46093790411566
"01/09/2013",4.40833184486613,4.49537987325088,5.45595766485383,2.57203954717151,4.59144046322216,4.23503475841895,4.58869846162426,4.57835347490191,4.5729406676852,4.58792794929262,4.59201905936518,4.65217696181783,1.66866730254377,20.461687346078,4.57270901518977,1.41098697371026,1.41342302850814
"01/10/2013",4.41307689889014,4.49063437239481,5.45337905984791,2.56638678540527,4.59013837224153,4.54922490925849,4.65309801654999,4.63909650372376,4.62271470390854,4.67243466426368,4.64134691032779,4.64632152850734,1.61139274650035,20.474789651897,4.64119519832453,1.38128181929635,1.3787660946991
"01/11/2013",4.42235568963939,4.4813559994498,5.45133454706475,2.5698144268731,4.59324152152281,4.87439351626543,4.62367962257153,4.6460358253159,4.59448943510115,4.62294306061169,4.65700836974646,4.59901108349691,1.50065416196593,20.5261991786885,4.64658856615507,1.33236601909433,1.33236601909433
"01/12/2013",4.42807564411868,4.47563650613654,5.45124873188485,2.56570291961609,4.59627211531494,4.90810612860315,4.58810672943004,4.64036764168399,4.62444537813637,4.53672016099046,4.66413841462481,4.54944415235458,1.45080583111033,20.6375719643938,4.63264395391962,1.33236601909433,1.33236601909433
"01/01/2014",4.43697697202707,4.5049674571608,5.45496207655201,2.58007287983812,4.59171213125847,4.62602773900735,4.60767561078858,4.58161483647385,4.65305042963872,4.62130034370167,4.53088189150035,4.61010116669562,1.62304877693575,20.5830182197503,4.59201440048608,1.3297240096315,1.33500106673234
"01/02/2014",4.4395069895186,4.50243732612809,5.45865316474789,2.58692157519473,4.60040113210689,4.59498842958009,4.57837326691453,4.57048080712702,4.54486745040447,4.58174547634646,4.60178903021783,4.58092391816107,1.53935084682075,20.5775286963266,4.57396520594807,1.33236601909433,1.33500106673234
"01/03/2014",4.44224284827951,4.49970188674405,5.46507256039395,2.58138281623229,4.6098900299798,4.4135744479335,4.63287710756635,4.61627304945002,4.63802319713724,4.6547057332429,4.57575613378775,4.65073011092883,1.56780447836914,20.5701585714064,4.61619554176514,1.33500106673234,1.33762918913861
"01/04/2014",4.44037548358836,4.5015692325035,5.46836389246638,2.57017414598992,4.61135104506317,4.5681356571435,4.60673439996728,4.61130222554514,4.57801462154287,4.61445218167387,4.60758494810186,4.65342339554701,1.57936520962828,20.5876203952941,4.60840652538765,1.33762918913861,1.33762918913861
