Date,Actividades.Primarioas,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo
1/10/2009,82.68395425,95.44518992,89.18897351,98.7842,93.171,97.54,93.2838,5.67001668
1/11/2009,120.2902707,92.24637799,89.24173885,94.0553,91.1393,93.7909,87.7235,5.10901165
1/12/2009,119.7873446,91.89248136,90.42857455,97.8138,87.0631,98.3016,83.1021,4.72919858
1/1/2010,93.17137286,92.9820536,83.21684837,102.5697,85.7138,100.9781,84.7424,5.76104202
1/2/2010,88.00397218,88.69724222,83.19619274,93.5226,86.1829,90.7412,82.2973,5.28089391
1/3/2010,77.41031606,96.82756859,90.57069293,103.3617,96.0228,94.0666,88.1349,4.74399195
1/4/2010,94.54096369,94.77862463,88.09519801,99.3165,91.6658,98.6322,87.0804,5.34734688
1/5/2010,108.8609244,95.14442484,89.91526046,103.4072,93.4136,91.4603,92.6393,4.99547176
1/6/2010,109.5311012,95.10319636,91.38917677,98.7474,94.9357,91.8817,95.6275,4.92164306
1/7/2010,98.28933084,95.19346752,90.46701753,98.7389,92.1352,97.1355,101.0934,5.58516833
1/8/2010,73.33307483,95.68530905,90.234055,99.9289,95.5556,91.4916,97.8008,5.41578641
1/9/2010,71.46728582,95.02187015,89.0852257,97.1496,94.0968,94.4133,97.7513,5.65759828
1/10/2010,84.73511487,97.46939231,92.32948332,98.7436,96.3613,98.8891,96.1035,5.48130608
1/11/2010,124.819097,95.40901537,94.82053257,94.5856,95.7852,96.1113,91.8458,5.17235956
1/12/2010,114.9908448,94.71114549,95.10096193,99.1896,91.416,98.8024,88.0397,4.93696896
1/1/2011,93.80488925,93.95722349,87.97971136,101.9277,90.5936,94.2075,90.5578,5.33701074
1/2/2011,80.92298554,90.68804212,87.7995471,92.4424,90.1305,90.561,88.9125,5.33848434
1/3/2011,84.91899149,98.17898537,95.09864231,103.4223,99.7561,90.3615,95.5234,4.6417399
1/4/2011,83.10055721,94.31199348,90.55086002,98.9208,91.6343,95.5911,94.4553,5.13063631
1/5/2011,96.54980595,97.66557192,94.97900465,102.0457,96.2645,96.169,99.1796,5.1807634
1/6/2011,92.87091283,98.58914096,95.52617399,98.664,97.3387,100.4693,102.1118,5.40078705
1/7/2011,97.36716359,97.67143012,93.77261724,99.3475,94.3996,101.8843,103.3979,5.47711851
1/8/2011,77.21542031,99.20407193,96.06058879,100.5349,97.7647,99.9815,104.2558,5.70524018
1/9/2011,67.42576922,97.14782587,93.78672598,95.452,96.2548,99.5879,102.4891,5.43238833
1/10/2011,82.54852101,101.6998339,95.86529851,101.9642,100.1652,104.8772,100.8916,4.99339894
1/11/2011,122.322049,101.4512865,99.81158849,97.9622,100.1014,108.8621,95.4333,4.96127892
1/12/2011,116.3822668,98.85375761,97.90808779,101.3114,94.0755,107.8176,93.2224,4.50680533
1/1/2012,94.80309264,97.43132118,93.1666167,102.2596,96.2353,96.4129,92.2896,4.87974373
1/2/2012,86.97958112,96.61105611,93.05773709,96.8938,96.7804,97.0916,91.1027,5.28010781
1/3/2012,87.0552315,101.7435072,98.25285092,104.1332,103.7441,96.2531,96.5599,4.51848892
1/4/2012,90.14712679,97.35837631,94.72404019,98.9435,95.9585,99.1486,95.7662,4.8579851
1/5/2012,101.9841178,102.2249183,99.18963978,103.0048,102.0317,102.003,101.6796,4.6736979
1/6/2012,115.2812054,100.8719585,98.25251075,99.4766,102.4857,98.0904,104.227,4.75132601
